Id,NameCanonical,NameAuthorship,NameYear,RefString,RefYear
1354a480-2715-40bc-aa82-c41e6b71c81f,Platyaechmea distichantha,(Lem.) L.B.Sm. & W.J.Kress,"",L.B.Sm. & W.J.Kress. In: Phytologia 69: 272. (1990).,1990
06a12173-73ab-4648-b8b4-d4587227a72a,Stylocoronella riedli,"Salvini-Plawen, 1966",1966,\N,""
a0740d3a-f6c4-4c10-98e0-a8aa47d74886,Blysmia ruficollis,"Pascoe, 1872",1872,\N,""
39234b89-1744-4adb-9e38-8c46e03373a7,Cynanchum pamirense,Tsiang & Zhang,"","Tsiang & Zhang. In: Acta Phytotax. Sin., 12(1): 110. (1974).",1974
ae4f31d7-e63a-4383-b5cb-de13fdf94b06,Alluaudomyia leei,"Spinelli & Wirth, 1984",1984,\N,""
d91a93c2-df9b-431e-a5c0-92701404a37a,Limonium linifolium,(L.fil.) Kuntze,"",Kuntze. In: Rev. Gen. 395. (1891).,1891
f8cd9c76-ca40-4214-a010-8445cab5d139,Sphingonotus (Sphingonotus) pamiricus,"Ramme, 1930",1930,\N,""
a3e07b8f-b6a7-40d5-8358-b343755ce7e6,Peryphus subinflatus,"Motschulsky, 1859",1859,"MOTSCHULSKY, T. Victor Ivanovich de. Coléoptères nouveaux de la Californie. -. Bulletin de la Société Impériale des Naturalistes de Moscou, 32 (2): 122-185, 357-410. (1859).",1859
1eb646f9-836b-49e6-8c0d-2571f67d3be8,Bahita ourensis,"Zanol, 1999",1999,\N,""
0910c004-2f1a-4b62-8c79-579237ceaa43,Piper arbelaezii var. subglabrirameum,Yunck.,"",\N,""
a14ceebd-d7ce-4c6d-b5c6-52b757f1893e,Kellia physema,"Melvill & Standen, 1899",1899,\N,""
9db39c9d-7605-4361-8467-394f67f4311b,Pentacentrus acuminatus,"Chopard, 1930",1930,\N,""
138fee12-598d-4a9c-b6ad-86fd8a9c9474,Helianthemum lavandulifolium var. micranthum,(Faure & Maire) Emb. & Maire,"",Emb. & Maire. In: Cat. Pl. Maroc 4: 1078. (1941).,1941
652df01e-b24d-40b2-ad07-643a8afdfb00,Thyroma lhotzkiana,(Müll.Arg.) Miers,"",Miers. In: Apocyn. S. Amer.: 25. (1878).,1878
f06ec3e5-6cc8-476f-8638-c6badc0ff48d,Deyeuxia borealis,\N,"",Macoun. In: Cat. Canad. Pl. 2(4): 207. (1888).,1888
86a7ecfc-ccd1-4477-915d-e1c74ceef5f9,Heteronyx vacuus,"Blackburn, 1890",1890,\N,""
ae884320-548c-4552-8aa8-7e1abca6e704,Schizomyia acalypjae,"Rao, 1955",1955,\N,""
e9eb6617-67c2-4b08-9215-9c09c681242d,Kalanchoe lindmanii,R.-Hamet,"","R.-Hamet. In: Arkiv Bot. Stockh. 13: No. 11, 1. (1913).",1913
ecf092d1-c655-4310-b8c1-5ec07e651acf,Hohenbuehelia pinacearum,"Thorn, 1986",1986,"Thorn, R.G. In: Mycotaxon 25(1):38. (1986).",1986
17a79104-a5a0-4afa-81f0-8eebe3ba17a6,Epidauria perfasciella,"Hampson, 1918",1918,\N,""
05cd820c-410b-4dfc-88d0-4798fe162cdf,Limnophila (Limnophila) abstrusa,"Alexander, 1929",1929,\N,""
7b0fb300-1e3b-45ef-add2-3a92f076c46b,Trachyspermum hispidum,(Thunb.) Drude ex Engl.,"","Engl. In: Engl. Pflanzenw. Afr. 3: II. (Engl. & Drude. Veg. der Erde, 9) 809. (1921).",1921
c5db59bd-a96e-4e7e-a9a1-d9613c03087f,Melanoplus davisi quercicola,"(Hebard, 1918)","",\N,""
3bf3e43e-1173-4b81-9451-cdac59bb984b,Mimorsidis sarawakensis,"Hayashi, 1976",1976,\N,""
9b04c0f3-ac78-4c71-afb1-492bd323a67b,Eremophila latrobei var. tuberculosa,S.Moore,"",S. Moore. In: J. Linn. Soc. Bot.: (1899).,1899
e3f3c2b6-bce0-425f-b11b-e2fba3259494,Ectoedemia bradfordi,"Emmet, 1974",1974,"Emmet AM. Ectoedemia bradfordi sp. nov. (Lep., Nepticulidae), a hitherto undescribed species occurring in Kent. Entomologist's Gazette 25: 269-273. (1974).",1974
9982a063-8269-4bcc-b868-a598b406fa28,Aneilema petersii,(Hassk.) C.B.Clarke,"",A.L.P.P.de Candolle & A.C.P.de Candolle. In: Monogr. Phan. 3: 225. (1881).,1881
5ab54307-dd8e-4cf2-9cb2-e91619e4a07d,Epilaris venustus,"Faust, 1886",1886,\N,""
552f9b0c-6335-4c0e-a332-a6b8d22adac9,Dichomeris barnesiella,"Busck, 1907",1907,\N,""
3f33cee6-2497-4d56-a529-6fe1458406b2,Cyclostremiscus anxius,"(Hedley, 1909)","",\N,""
fffe46a8-167a-4261-902c-2be3cc8a368f,Pyractomena galeata,"E.Olivier, 1899",1899,\N,""
55df0f16-ffa5-4e45-aa0c-d90de384b63f,Halotis occulta,Bunge,"","Bunge. In: Mém. Acad. Sci. Pétersb. ser. 7, 4, 11: 74. (1862).",1862
3ade011f-e2cc-4742-9303-13bcc194367d,Crepidium megalanthum megalanthum,\N,"",\N,""
143148d7-d2ff-4d67-a8a2-52f9248e6132,Dacus pedunculatus,"(Bezzi, 1916)","",\N,""
a820a7b5-998c-4e22-85b8-daa609543ca6,Pavona clivosa,"(Verrill, 1869)","","Reyes-Bonilla, H. Checklist of valid names and synonyms of stony corals (Anthozoa: Scleractinia) from the eastern Pacific. Journal of Natural History. 36(1): 1-13. (2002).",2002
3ce65724-50fe-4aab-bef9-c23e67e9dbc4,Calanthe wardii,W.W.Sm.,"",W.W.Sm. In: Notes Roy. Bot. Gard. Edinburgh 13: 194. (1921).,1921
7e3719a7-c05c-4c87-b4d4-90cb2908d095,Kelliopsis ephippiolum,"(Melvill & Standen, 1899)","",\N,""
036885ec-fa27-480e-bdea-8c22d085d5af,Lavatera vulgaris,H.Mart.,"",\N,""
9d59a407-d9da-4ae2-a8d1-38a235915859,Haplostoma sycozoae,"Salfi, 1926",1926,\N,""
0be1b331-ca99-4f85-9db1-338c1e2b6d3d,Dianthus fruticosus rhodius,(Rech.fil.) Runemark,"",\N,""
0fef466c-6b25-4661-896f-f0771ea2001d,Callosciurus prevostii sarawakensis,"(Gray, 1867)","",\N,""
08b082d7-4c14-46bb-b1b1-61c691f2a6a0,Paepalanthus rupprechtianus,Körn.,"",C.F.P.von Martius & auct. suc. (eds.). In: Fl. Bras. 3(1): 437. (1863).,1863
d13c543e-106a-4855-9ae1-3f044267749d,Tricalamus linzhiensis,"Hu, 2001",2001,"Hu, J. L. Spiders in Qinghai-Tibet Plateau of China. Henan Science and Technology Publishing House 658 pp. (2001).",2001
8be2db79-865e-404f-aa25-e2c0ff8f3bd4,Plectropoma variegatum,"Castelnau, 1875",1875,\N,""
dccedb3c-1883-4c4a-a2a2-2419522e11cb,Parallelia fallax,"Hulstaert, 1924",1924,\N,""
ced82527-c8f2-4cb0-a2da-2946a895c87c,Leptomenoides mackayensis,"Giordani Soika, 1961",1961,\N,""
a6f55b99-e3c7-4404-a8d6-0c36374e0791,Scutellinia immersa,"Svrček, 1971",1971,"Svr?ek, M. In: ?eská Mykol. 25(2):86. (1971).",1971
8b467a21-2f07-4a3a-9357-8d1bfc08a4be,Humboltia fimbriata,(Lindl.) Kuntze,"",Kuntze. In: Revis. Gen. Pl. 2: 667. (1891).,1891
14fa0d3c-7486-4d31-bbd5-ea40adf99586,Lepisorus longipes,Ching & Z.Y.Liu,"",Ching & Z. Y. Liu. In: Bull. Bot. Res. Harbin 4(4): 25. (1984).,1984
f3f365ab-b76c-4c40-a287-e510c6d1bb54,Echeveria elegans var. kesselringiana,Poelln.,"",\N,""
9c53bef0-d9a8-4bb4-b916-429964d77dbe,Martyringa ravicapitis,"Hodges, 1960",1960,\N,""
bbb6c1bc-92d4-4ed6-a916-e4c898c64fe7,Euconchophora infuscata,"Brongniart, 1897",1897,\N,""
0b33551f-06fc-41d5-92b6-1bdb65add280,Polyodontophis mayottensis,"Boulenger, 1893",1893,\N,""
f86d5cd8-2c4a-4046-b5e3-f484cc6c9015,Laxabilla smaragdina,"Sjöstedt, 1934",1934,\N,""
9fd120f9-3e5a-4e6d-9bbd-3109d6cfb5b7,Beccariella longipetiolata,Aubrév.,"",Aubrév. In: Fl. Nouv.-Caléd. 1: 121. (1967).,1967
ea3a446e-d587-4d35-a442-a5c66a1aaca5,Alternaria mouchaccae,"E.G.Simmons, 1981",1981,"Simmons, E.G. In: Mycotaxon 13(1):18. (1981).",1981
0e55ac68-1414-46bc-8511-fea9f58fe108,Camarophyllus pallidus,"(Peck) Murrill, 1916",1916,"Murrill, W.A. Agaricaceae (pars). In: N. Amer. Fl. (New York) 9(6):386. (1916).",1916
0390c993-1e88-46f6-9d15-908ca5024fe7,Renicola brevitellatus,"Leonov & Belogurov, 1963",1963,\N,""
339b2821-b943-49cd-9357-7e62bd101dee,Neocoenyra mittoni,"Pinhey, 1956",1956,\N,""
a99bb0ea-df3e-4ab0-ab89-efe8cbc30592,Aceratium oppositifolium,DC.,"",DC. In: Prod. 1: 519. (1824).,1824
90574056-5dd3-4ee7-81f5-082e60a9bcc0,Hesperophanes sulcicornis,"Monné, 1993",1993,"MONNÉ Miguel Ángel. Catalogue of the Cerambycidae (Coleoptera) of the western hemisphere. Part II. Subfamily Cerambycinae: Tribes Hesperophanini and Eburiini. Sociedade Brasileira de Entomologia, São Paulo 1993 II: 1-77. (1993).",1993
695217a1-59c2-4e41-aa58-7cb466f0abb4,Nasutitermes minor,"(Holmgren, 1906)","",\N,""
e0246ded-dd80-40d6-b350-7c52b4ee0e38,Dryopteris rhombea,(Christ) Copel.,"",Copel. In: Phil. Journ. Sci. 56: 102. (1935).,1935
8d557281-1b25-4673-aad9-8a68dcb5b26e,Pterostichus subcoarctatus,"Hänel, 1940",1940,\N,""
87f22804-236b-4ee4-9558-4c809e103f9d,Nilus curtus,"O.Pickard-Cambridge, 1876",1876,"Pickard-Cambridge, O. Catalogue of a collection of spiders made in Egypt, with descriptions of new species and characters of a new genus. Proceedings of the Zoological Society of London 44(3): 541-630, Pl. LVIII-LX. (1876).",1876
