NameString,RefString
"Favolaschia zenkeriana (Singer) Singer, 1974","Singer, R. In: Beih. Nova Hedwigia 50:40. (1974)."
Ceanothus hypericoides L'Her. ex DC.,DC. In: Prod. 2: 32. (1825).
"Lepturgus argentinus Berg, 1889",BERG Frederico Guillermo Carlos. Quadraginta Coleoptera nova Argentina. Anales de la Universidad de Buenos Aires 6: 105-157. (1889).
"Satrapes maghrebinus Yélamos, 1997","Yélamos, T. Description of a new species of Satrapes Schmidt, 1885 with proposed phylogeny of the Palearctic genera of Hetaeriinae (Coleoptera: Histeridae). Sessió Conjunta d'Entomologia, ICHN-SCL, vol. 9. (1997)."
"Tabanus recedens Walker, 1854",
Neotrichina,
"Pterostichus (Myosodus) lacunosus (Chaudoir, 1844)",
"Hyposmochoma costimaculata Walsingham, 1907",
Melampyrum bosniacum Ronniger,Ronniger. In: Mitt. Naturw. Ver. Steierm. 54: 294. (1918).
"Ambulyx phalaris carycina Jordan, 1919",
"Microbotryum scabiosae (Sowerby) G.Deml & Prillinger, 1991","Prillinger, H.; Deml, G.; Dörfler, C.; Laaser, G.; Lockau, W. Ein Beitrag zur Systematik und Entwicklungsbiologie höherer Pilze: Hefe-Typen der Basidiomyceten. Teil II: Microbotryum-Typ. In: Bot. Acta 104(1):10. (1991)."
Orchis bifolia var. macroglossa Wallr.,Wallr. In: Sched. Crit.: 486. (1822).
"Ctenodes minuta Latreille, 1836","CUVIER Georges Christian Léopold Dagobert. Le Règne Animal distribué d'après son organisation, pour servir de base à l'histoire naturelle des animaux, et d'introduction à l'anatomie comparée. Edition accompagnée de planches gravées, représentant les types de tous les genres, les caractères distinctifs des divers groupes et les modifications de structure sur lesquelles repose cette classification; par une réunion des disciples de Cuvier. Le Règne Animal 12, Insectes. I. Atlas. Fortin, Masson & Cie, Paris. (J. V. Audouin, E. Blanchard, L. Doyère & H. Milne Edwards, éditeur): iv-xii + 1-557, 75 pls. (1836-1843)."
"Ibidion leucozona Bates, 1885","BATES Henry Walter. Supplement to Longicornia. Biologia Centrali-Americana, Insecta, Coleoptera 5: 249-436, pls. XVII-XXIV. (1885)."
"Colpoma agathidis P.R.Johnst., 1991","Johnston, Peter R. Rhytismataceae in New Zealand 5. Wood- and bark-inhabiting species in the genera Colpoma and Propolomyces. In: N.Z. Jl Bot. 29(4):405. (1991)."
"Pselaphaulax depressifrons Jeannel, 1960","Jeannel, R. Révision des Psélaphides Malgaches. Bulletin de l'Académie Malgache, 36: 31-216. (1960)."
"Clinidium (Clinidium) trionyx R.T. & J.R.Bell, 1985",
Parmelia almbornii Hale,Hale. In: Bot. Not. Vol.: 124 Issue: 3 p. 345. (1971).
"Albinaria (Cerigana) edmundi (E.Gittenberger, 1987)","Bank, R. A.; Neubert, E. Checklist of the land and freshwater Gastropoda of Europe. (2017)."
"Euthria kobelti Strebel, 1905","Pastorino G. Revision of the genera Pareuthria Strebel, 1905, Glypteuthria Strebel, 1905 and Meteuthria Thiele, 1912 (Gastropoda: Buccinulidae) with the description of three new genera and two new species from Southwestern Atlantic waters. Zootaxa. 4179(3): 301-344. (2016)."
Sebaea compacta A.W.Hill,"A. W. Hill. In: Kew Bull., 323. (1908)."
Glycine warreensis Dalzell,
Taraxacum braun-blanquetii van Soest,"van Soest. In: Vegetatio, v-vi. 524. (1954)."
"Dolichomitus urainus (Sonan, 1936)","Sonan, J. Formosan Ichneumon flies of the genus Ephialtes Schrank (=Ichneumon of Cushman and Rohwer). Transactions of the Natural History Society of Formosa. Taihoku. 26(150):103-107. (1936)."
"Haemaphysalis sulcata Canestrini & Fanzago, 1878",
"Schoenionta shelfordi Aurivillius, 1923","AURIVILLIUS Christopher. Cerambycidae : Lamiinae. II. Coleopterorum Catalogus pars 74 [Vol. 23] II: 323-704. W. Junk & S. Schenkling, Berlin. (1923)."
"Misgomyces rhizophorus Thaxt., 1931","Thaxter, R. In: Mem. Am. Acad. Arts Sci., ser. 2 16(1):303. (1931)."
Abies concolor f. atroviolacea Cinovskis,Cinovskis. In: Introd. Rast. Bot. Sad. Pribaltiki: 48. (1974).
Carex delicatula C.B.Clarke,"C.B.Clarke. In: Bull. Misc. Inform. Kew, Addit. Ser. 8: 79. (1908)."
"Pegomyia marginata Huckett, 1939",
Paeonia daurica coriifolia (Rupr.) D.Y.Hong,D. Y. Hong. In: Bot. J. Linn. Soc. 143(2): 145. (2003).
"Stenus immarginatus Mäklin, 1853","Mäklin, F. G. [New species and notes]. In: Mannerheim, C. G. Dritter Nachtrag zur Kaefer-Fauna der Nord-Amerikanischer Laender des Russischen Reiches. Bulletin de la Société Impériale des Naturalistes de Moscou, 26 (3): 95-273. (1853)."
"Leptinobaris bidens G.C.Champion, 1909",
"Astatumen bartosi (Wêglarska, 1959)",
"Pleurotus pometi var. pometi (Fr.) Quél., 1872","Quélet, L. In: Mém. Soc. Émul. Montbéliard, Sér. 2 5:112. (1872)."
